Date and time,humidity
2021-07-10T10:22:26.062Z,50
2021-07-10T10:22:27.763Z,50
2021-07-10T10:22:29.542Z,50
2021-07-10T10:22:31.236Z,50
2021-07-10T10:22:33Z,50
2021-07-10T10:22:34.695Z,50
2021-07-10T10:22:36.468Z,50
2021-07-10T10:22:38.172Z,50
2021-07-10T10:22:39.937Z,50
2021-07-10T10:22:41.642Z,50
2021-07-10T10:22:43.413Z,50
2021-07-10T10:22:45.108Z,50
2021-07-10T10:22:46.873Z,50
2021-07-10T10:22:48.567Z,50
2021-07-10T10:22:50.339Z,50
2021-07-10T10:22:52.136Z,50
2021-07-10T10:22:54.26Z,50
2021-07-10T10:22:55.956Z,50
2021-07-10T10:22:57.725Z,50
2021-07-10T10:22:59.418Z,50
2021-07-10T10:23:01.213Z,50
2021-07-10T10:23:02.908Z,50
2021-07-10T10:23:04.679Z,50
2021-07-10T10:23:06.376Z,50
2021-07-10T10:23:08.142Z,50
2021-07-10T10:23:10.048Z,50
2021-07-10T10:23:11.912Z,50
2021-07-10T10:23:13.644Z,50
2021-07-10T10:23:15.426Z,50
2021-07-10T10:23:17.131Z,50
2021-07-10T10:23:18.899Z,50
2021-07-10T10:23:20.619Z,50
2021-07-10T10:23:22.384Z,50
2021-07-10T10:23:24.478Z,50
2021-07-10T10:23:26.184Z,50
2021-07-10T10:23:27.954Z,50
2021-07-10T10:23:29.65Z,50
2021-07-10T10:23:31.421Z,50
2021-07-10T10:23:33.115Z,50
2021-07-10T10:23:34.884Z,50
2021-07-10T10:23:36.581Z,50
2021-07-10T10:23:38.351Z,50
2021-07-10T10:23:40.126Z,50
2021-07-10T10:23:41.937Z,50
2021-07-10T10:23:43.668Z,50
2021-07-10T10:23:45.447Z,50
2021-07-10T10:23:47.253Z,50
2021-07-10T10:23:49.035Z,50
2021-07-10T10:23:50.76Z,50
2021-07-10T10:23:52.527Z,50
2021-07-10T10:23:54.624Z,50
2021-07-10T10:23:56.371Z,50
2021-07-10T10:23:58.143Z,50
2021-07-10T10:23:59.839Z,50
2021-07-10T10:24:01.626Z,50
2021-07-10T10:24:03.464Z,50
2021-07-10T10:24:05.314Z,50
2021-07-10T10:24:07.737Z,50
2021-07-10T10:24:09.505Z,50
2021-07-10T10:24:11.198Z,50
2021-07-10T10:24:12.98Z,50
2021-07-10T10:24:14.678Z,50
2021-07-10T10:24:16.444Z,50
2021-07-10T10:24:18.138Z,50
2021-07-10T10:24:19.948Z,50
2021-07-10T10:24:22.125Z,50
2021-07-10T10:24:24.07Z,50
2021-07-10T10:24:26.182Z,50
2021-07-10T10:24:28.01Z,50
2021-07-10T10:24:30.077Z,50
2021-07-10T10:24:32.654Z,50
2021-07-10T10:24:34.426Z,50
2021-07-10T10:24:36.129Z,50
2021-07-10T10:24:37.899Z,50
2021-07-10T10:24:39.592Z,50
2021-07-10T10:24:41.632Z,50
2021-07-10T10:24:43.405Z,50
2021-07-10T10:24:45.103Z,50
2021-07-10T10:24:46.878Z,50
2021-07-10T10:24:48.585Z,50
2021-07-10T10:24:50.312Z,58
2021-07-10T10:24:53.272Z,61
